epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7304,1.36981,2.75532,1.40242,0.03552,0.67391,0.45436,0.26716,1.30362,2.67582,1.18979,0.000465748,0.000465748,0.000465748
2,44.7086,1.29463,1.43378,1.40549,0.82113,0.50452,0.53807,0.34115,1.232,1.44175,1.25246,0.000932755,0.000932755,0.000932755
3,64.9424,1.2464,1.24495,1.35189,0.65863,0.77474,0.7139,0.45104,1.18466,1.15215,1.21399,0.00139033,0.00139033,0.00139033
4,85.1469,1.21872,1.19795,1.32428,0.68153,0.71292,0.67232,0.40925,1.21986,1.14809,1.25115,0.00138656,0.00138656,0.00138656
5,100.871,1.20705,1.12867,1.30331,0.58151,0.52263,0.53606,0.29987,1.5097,2.02071,1.48571,0.00137241,0.00137241,0.00137241
6,120.63,1.1946,1.10506,1.28912,0.70191,0.74022,0.71566,0.45905,1.24709,1.13219,1.21236,0.00135826,0.00135826,0.00135826
7,136.782,1.18469,1.08774,1.28256,0.69799,0.73448,0.69061,0.3953,1.45688,1.20768,1.5051,0.00134412,0.00134412,0.00134412
8,156.085,1.17677,1.06773,1.27655,0.67757,0.76422,0.68632,0.4056,1.31953,1.02597,1.3429,0.00132997,0.00132997,0.00132997
9,172.286,1.16203,1.04177,1.26173,0.74165,0.76389,0.75774,0.5192,1.07995,0.96362,1.15825,0.00131582,0.00131582,0.00131582
10,187.928,1.15995,1.02759,1.26284,0.79094,0.73064,0.78698,0.51644,1.21821,1.03601,1.21427,0.00130168,0.00130168,0.00130168
11,207.638,1.14132,1.02204,1.24485,0.75302,0.7562,0.78112,0.51542,1.11261,0.93239,1.19209,0.00128753,0.00128753,0.00128753
12,223.177,1.12969,0.99382,1.24032,0.74172,0.77949,0.74757,0.50278,1.11418,0.92868,1.20151,0.00127338,0.00127338,0.00127338
13,242.353,1.13567,0.98681,1.24337,0.61816,0.51496,0.50664,0.27292,1.42601,2.09559,1.4658,0.00125923,0.00125923,0.00125923
14,257.976,1.12587,0.96484,1.23191,0.77117,0.75401,0.79515,0.5362,1.10221,0.92734,1.19173,0.00124509,0.00124509,0.00124509
15,277.225,1.10728,0.9485,1.22295,0.73121,0.68376,0.72036,0.45517,1.21913,1.05996,1.25138,0.00123094,0.00123094,0.00123094
16,292.92,1.09923,0.94345,1.21224,0.74522,0.77105,0.78348,0.51738,1.13852,0.93543,1.22073,0.00121679,0.00121679,0.00121679
17,312.653,1.09707,0.9179,1.21164,0.77742,0.66773,0.75736,0.50508,1.04711,1.04772,1.14892,0.00120265,0.00120265,0.00120265
18,328.809,1.09563,0.91027,1.21097,0.84055,0.74593,0.83267,0.57187,1.03032,0.90936,1.13662,0.0011885,0.0011885,0.0011885
19,348.143,1.10393,0.92321,1.21045,0.78903,0.77048,0.82353,0.57504,1.03626,0.81196,1.1364,0.00117435,0.00117435,0.00117435
20,363.786,1.06804,0.8955,1.19639,0.8183,0.75304,0.81021,0.5516,1.0408,0.84715,1.1363,0.00116021,0.00116021,0.00116021
21,382.805,1.07713,0.89021,1.19675,0.75421,0.73748,0.77307,0.511,1.12121,0.95068,1.18812,0.00114606,0.00114606,0.00114606
22,398.516,1.0718,0.90609,1.19705,0.85183,0.74695,0.82567,0.56885,1.04481,0.82969,1.13459,0.00113191,0.00113191,0.00113191
23,413.924,1.06593,0.88724,1.18852,0.85567,0.75901,0.84185,0.5783,0.98942,0.76918,1.11501,0.00111776,0.00111776,0.00111776
24,434.816,1.0666,0.87851,1.18915,0.8394,0.7474,0.83567,0.5696,1.04168,0.79658,1.13282,0.00110362,0.00110362,0.00110362
